"","Date","Age","Treatment","PlateID","Well","Family","Family_EBV","Count","AUC","AUC.cor","AUC.cor.norm"
"93",20260320,"72hpf","26C","plate_1_low","D9",6,"High",33,554.658333333333,198.112878787879,6.00342056932966
"94",20260320,"72hpf","26C","plate_1_low","E2",55,"Low",28,364.933333333333,8.38787878787878,0.299567099567099
"95",20260320,"72hpf","26C","plate_1_low","E4",57,"Low",56,559.741666666667,203.196212121212,3.62850378787879
"96",20260320,"72hpf","26C","plate_1_low","E5",53,"Low",35,547.583333333333,191.037878787879,5.45822510822511
"97",20260320,"72hpf","26C","plate_1_low","E7",1,"High",2,646.25,289.704545454545,144.852272727273
"98",20260320,"72hpf","26C","plate_1_low","E10",5,"High",17,367.283333333333,10.7378787878787,0.63163992869875
"99",20260320,"72hpf","26C","plate_1_low","E12",3,"High",58,671.541666666667,314.996212121212,5.43096917450365
"100",20260320,"72hpf","26C","plate_1_low","F5",53,"Low",67,710.183333333334,353.637878787879,5.27817729534148
"101",20260320,"72hpf","26C","plate_1_low","F6",52,"Low",24,482.091666666667,125.546212121212,5.23109217171717
"102",20260320,"72hpf","26C","plate_1_low","F7",1,"High",9,965.933333333334,609.387878787879,67.7097643097644
"103",20260320,"72hpf","26C","plate_1_low","F10",5,"High",34,429.1,72.5545454545453,2.13395721925133
"104",20260320,"72hpf","26C","plate_1_low","F12",3,"High",31,431.633333333333,75.0878787878788,2.42218963831867
"105",20260320,"72hpf","26C","plate_1_low","G1",54,"Low",36,410.608333333333,54.0628787878787,1.50174663299663
"106",20260320,"72hpf","26C","plate_1_low","G2",55,"Low",70,672.208333333333,315.662878787879,4.5094696969697
"107",20260320,"72hpf","26C","plate_1_low","G4",57,"Low",57,675.766666666667,319.221212121212,5.60037214247741
"108",20260320,"72hpf","26C","plate_1_low","G5",53,"Low",31,691.85,335.304545454545,10.816275659824
"109",20260320,"72hpf","26C","plate_1_low","G6",52,"Low",20,592.258333333333,235.712878787879,11.7856439393939
"110",20260320,"72hpf","26C","plate_1_low","G9",6,"High",16,571.725,215.179545454545,13.4487215909091
"111",20260320,"72hpf","26C","plate_1_low","G10",5,"High",70,844.016666666667,487.471212121212,6.96387445887446
"112",20260320,"72hpf","26C","plate_1_low","G11",8,"High",9,409.491666666667,52.9462121212121,5.88291245791246
"113",20260320,"72hpf","26C","plate_1_low","G12",3,"High",16,402.266666666667,45.7212121212121,2.85757575757576
"114",20260320,"72hpf","32C","plate_2_high","A1",54,"Low",35,585.458333333333,381.084848484849,10.8881385281385
"115",20260320,"72hpf","32C","plate_2_high","A2",55,"Low",26,386.408333333333,182.034848484849,7.00134032634033
"116",20260320,"72hpf","32C","plate_2_high","A3",56,"Low",53,584.141666666667,379.768181818182,7.16543739279589
"117",20260320,"72hpf","32C","plate_2_high","A4",57,"Low",35,457.033333333333,252.659848484849,7.21885281385282
"118",20260320,"72hpf","32C","plate_2_high","A5",53,"Low",43,692.858333333333,488.484848484848,11.3601127554616
"119",20260320,"72hpf","32C","plate_2_high","A6",52,"Low",48,704.916666666667,500.543181818182,10.4279829545455
"120",20260320,"72hpf","32C","plate_2_high","A7",1,"High",126,1512.63333333333,1308.25984848485,10.3830146705147
"121",20260320,"72hpf","32C","plate_2_high","A8",4,"High",30,547.35,342.976515151515,11.4325505050505
"122",20260320,"72hpf","32C","plate_2_high","A9",6,"High",40,678.991666666667,474.618181818182,11.8654545454545
"123",20260320,"72hpf","32C","plate_2_high","A10",5,"High",69,1161.10833333333,956.734848484849,13.8657224418094
"124",20260320,"72hpf","32C","plate_2_high","A11",8,"High",44,1122.85833333333,918.484848484848,20.8746556473829
"125",20260320,"72hpf","32C","plate_2_high","A12",3,"High",32,1382.84166666667,1178.46818181818,36.8271306818182
"126",20260320,"72hpf","32C","plate_2_high","B1",54,"Low",36,442.15,237.776515151515,6.6049031986532
"127",20260320,"72hpf","32C","plate_2_high","B2",55,"Low",41,411.266666666667,206.893181818182,5.04617516629712
"128",20260320,"72hpf","32C","plate_2_high","B3",56,"Low",53,538.491666666667,334.118181818182,6.3041166380789
"129",20260320,"72hpf","32C","plate_2_high","B4",57,"Low",13,245.583333333333,41.2098484848485,3.16998834498834
"130",20260320,"72hpf","32C","plate_2_high","B5",53,"Low",37,564.558333333333,360.184848484849,9.73472563472564
"131",20260320,"72hpf","32C","plate_2_high","B6",52,"Low",48,497.233333333333,292.859848484848,6.10124684343434
"132",20260320,"72hpf","32C","plate_2_high","B7",1,"High",98,1053.8,849.426515151515,8.66761750154607
"133",20260320,"72hpf","32C","plate_2_high","B8",4,"High",27,475.991666666667,271.618181818182,10.0599326599327
"134",20260320,"72hpf","32C","plate_2_high","B9",6,"High",32,584.283333333333,379.909848484849,11.8721827651515
