"","Family","PlateID","Well","Note","obs_volume","Date","Treatment","Age","Type","Count","AUC","blanks_meanAUC","AUC_cor","AUC_cor_norm","Family_EBV","yearclass","sire","dam","sire_id","dam_id","ebv_mpv","sire_pop","dam_pop"
"92",3,"plate_2_30","E2","","",20260401,"30C","360hpf","Sample",9,2965.44166666667,1763.86875,1201.57291666667,133.508101851852,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"93",3,"plate_4_38","A2","","",20260401,"38C","360hpf","Sample",8,3164.50833333333,1920.40069444444,1244.10763888889,155.513454861111,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"94",3,"plate_4_38","A2","","",20260401,"38C","360hpf","Sample",8,3164.50833333333,1920.40069444444,1244.10763888889,155.513454861111,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"95",3,"plate_2_30","D2","","",20260401,"30C","360hpf","Sample",12,2171.71666666667,1763.86875,407.847916666667,33.9873263888889,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"96",3,"plate_4_38","E2","","",20260401,"38C","360hpf","Sample",16,4323.675,1920.40069444444,2403.27430555555,150.204644097222,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"97",3,"plate_3_34","G2","","",20260401,"34C","360hpf","Sample",10,3389.65833333333,1941.35138888889,1448.30694444444,144.830694444444,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"98",3,"plate_4_38","D2","","",20260401,"38C","360hpf","Sample",18,5121.575,1920.40069444444,3201.17430555556,177.843016975309,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"99",3,"plate_3_34","F2","","",20260401,"34C","360hpf","Sample",5,2726.01666666667,1941.35138888889,784.665277777778,156.933055555556,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"100",3,"plate_4_38","D2","","",20260401,"38C","360hpf","Sample",18,5121.575,1920.40069444444,3201.17430555556,177.843016975309,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
"101",3,"plate_3_34","E2","","",20260401,"34C","360hpf","Sample",18,4071.35833333333,1941.35138888889,2130.00694444444,118.333719135802,"High",2026,"2023-56","2024-32","G010852","G010827",0.250798343566823,"midori","midori"
