"","Date","filename","time","timepoint","Treatment","PlateID","Well","gain","Type","Family","Age","Area_ImageJ","Count","flourescence","Note"
"56",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","E8",77,"Sample",53,"101dpf",NA,NA,2191,""
"57",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","E9",77,"Sample",54,"101dpf",NA,NA,2411,""
"58",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","E10",77,"Sample",55,"101dpf",NA,NA,2389,""
"59",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","E11",77,"Sample",56,"101dpf",NA,NA,2445,""
"60",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","E12",77,"Sample",58,"101dpf",NA,NA,2459,""
"61",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F1",77,"Sample",2,"101dpf",NA,NA,2673,""
"62",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F2",77,"Sample",5,"101dpf",NA,NA,2536,""
"63",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F3",77,"Sample",7,"101dpf",NA,NA,2638,""
"64",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F4",77,"Sample",15,"101dpf",NA,NA,2775,""
"65",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F5",77,"Sample",17,"101dpf",NA,NA,2355,""
"66",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F6",77,"Sample",18,"101dpf",NA,NA,2289,""
"67",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F7",77,"Sample",49,"101dpf",NA,NA,2313,""
"68",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F8",77,"Sample",53,"101dpf",NA,NA,2195,""
"69",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F9",77,"Sample",54,"101dpf",NA,NA,2313,""
"70",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F10",77,"Sample",55,"101dpf",NA,NA,2298,""
"71",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F11",77,"Sample",56,"101dpf",NA,NA,2302,""
"72",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","F12",77,"Sample",58,"101dpf",NA,NA,2309,""
"73",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G1",77,"blank",NA,"101dpf",NA,NA,2278,""
"74",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G2",77,"shell",NA,"101dpf",NA,NA,2488,""
"75",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G3",77,"blank",NA,"101dpf",NA,NA,2251,""
"76",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G4",77,"shell",NA,"101dpf",NA,NA,2704,""
"77",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G5",77,"blank",NA,"101dpf",NA,NA,2267,""
"78",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G6",77,"shell",NA,"101dpf",NA,NA,2232,""
"79",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G7",77,"blank",NA,"101dpf",NA,NA,2211,""
"80",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G8",77,"shell",NA,"101dpf",NA,NA,2442,""
"81",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G9",77,"blank",NA,"101dpf",NA,NA,2281,""
"82",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G10",77,"shell",NA,"101dpf",NA,NA,2382,""
"83",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G11",77,"blank",NA,"101dpf",NA,NA,2352,""
"84",20260626,"NIFA_Resazurin_24_T0_26062026_1110_g77",2026-06-26 11:10:00,"T0","24C","T0_24C_77g","G12",77,"shell",NA,"101dpf",NA,NA,2474,""
"85",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A1",77,"Sample",2,"101dpf",NA,NA,24638,""
"86",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A2",77,"Sample",5,"101dpf",NA,NA,17282,""
"87",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A3",77,"Sample",7,"101dpf",NA,NA,20136,""
"88",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A4",77,"Sample",15,"101dpf",NA,NA,17579,""
"89",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A5",77,"Sample",17,"101dpf",NA,NA,13580,""
"90",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A6",77,"Sample",18,"101dpf",NA,NA,33850,""
"91",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A7",77,"Sample",49,"101dpf",NA,NA,24629,""
"92",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A8",77,"Sample",53,"101dpf",NA,NA,8038,""
"93",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A9",77,"Sample",54,"101dpf",NA,NA,3426,""
"94",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A10",77,"Sample",55,"101dpf",NA,NA,5627,""
"95",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A11",77,"Sample",56,"101dpf",NA,NA,9872,""
"96",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","A12",77,"Sample",58,"101dpf",NA,NA,7872,""
"97",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B1",77,"Sample",2,"101dpf",NA,NA,29131,""
"98",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B2",77,"Sample",5,"101dpf",NA,NA,6413,""
"99",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B3",77,"Sample",7,"101dpf",NA,NA,8010,""
"100",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B4",77,"Sample",15,"101dpf",NA,NA,26220,""
"101",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B5",77,"Sample",17,"101dpf",NA,NA,18423,""
"102",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B6",77,"Sample",18,"101dpf",NA,NA,21606,""
"103",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B7",77,"Sample",49,"101dpf",NA,NA,21888,""
"104",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B8",77,"Sample",53,"101dpf",NA,NA,6867,""
"105",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B9",77,"Sample",54,"101dpf",NA,NA,14493,""
"106",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B10",77,"Sample",55,"101dpf",NA,NA,2780,""
"107",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B11",77,"Sample",56,"101dpf",NA,NA,2733,""
"108",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","B12",77,"Sample",58,"101dpf",NA,NA,4323,""
"109",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","C1",77,"Sample",2,"101dpf",NA,NA,20556,""
"110",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","C2",77,"Sample",5,"101dpf",NA,NA,7087,""
"111",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","C3",77,"Sample",7,"101dpf",NA,NA,10506,""
"112",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","C4",77,"Sample",15,"101dpf",NA,NA,9716,""
"113",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","C5",77,"Sample",17,"101dpf",NA,NA,5959,""
"114",20260626,"NIFA_Resazurin_24_T1_26062026_1211_g77",2026-06-26 12:11:00,"T1","24C","T1_24C_77g","C6",77,"Sample",18,"101dpf",NA,NA,6089,""
