"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain","PlateID"
"94","A","10","1457","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A10",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"95","A","11","1392","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A11",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"96","A","12","1447","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","A12",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"97","B","1","1405","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B1",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"98","B","2","1670","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B2",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"99","B","3","1538","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B3",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"100","B","4","1404","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B4",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"101","B","5","1462","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B5",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"102","B","6","1508","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B6",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"103","B","7","2586","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B7",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"104","B","8","1198","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B8",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"105","B","9","1704","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B9",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"106","B","10","1407","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B10",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"107","B","11","1502","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B11",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"108","B","12","1470","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","B12",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"109","C","1","1379","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C1",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"110","C","2","1690","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C2",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"111","C","3","1341","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C3",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"112","C","4","1361","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C4",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"113","C","5","1365","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C5",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"114","C","6","1280","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C6",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"115","C","7","1331","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C7",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
