"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain"
"79","A","1","5673","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A1",NA,20260710,60
"80","A","2","1668","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A2",NA,20260710,60
"81","A","3","1494","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A3",NA,20260710,60
"82","A","4","2335","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A4",NA,20260710,60
"83","A","5","1541","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A5",NA,20260710,60
"84","A","6","2787","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A6",NA,20260710,60
"85","A","7","3032","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A7",NA,20260710,60
"86","A","8","2654","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A8",NA,20260710,60
"87","A","9","10126","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A9",NA,20260710,60
"88","A","10","4993","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A10",NA,20260710,60
"89","A","11","4714","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A11",NA,20260710,60
"90","A","12","4911","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","A12",NA,20260710,60
"91","B","1","5667","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B1",NA,20260710,60
"92","B","2","4827","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B2",NA,20260710,60
"93","B","3","1081","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B3",NA,20260710,60
"94","B","4","1413","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B4",NA,20260710,60
"95","B","5","975","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B5",NA,20260710,60
"96","B","6","1334","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B6",NA,20260710,60
"97","B","7","3861","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B7",NA,20260710,60
"98","B","8","1624","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B8",NA,20260710,60
"99","B","9","3662","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B9",NA,20260710,60
"100","B","10","552","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B10",NA,20260710,60
"101","B","11","5811","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B11",NA,20260710,60
"102","B","12","481","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","B12",NA,20260710,60
"103","C","1","2926","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C1",NA,20260710,60
"104","C","2","1392","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C2",NA,20260710,60
"105","C","5","970","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C5",NA,20260710,60
"106","C","6","928","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C6",NA,20260710,60
"107","C","7","3515","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C7",NA,20260710,60
"108","C","8","1608","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C8",NA,20260710,60
"109","C","9","3633","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C9",NA,20260710,60
"110","C","10","1113","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C10",NA,20260710,60
"111","C","11","1882","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","C11",NA,20260710,60
"112","D","1","5480","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D1",NA,20260710,60
"113","D","3","4788","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D3",NA,20260710,60
